iter	Logloss
0	0.6556420356
1	0.6141692482
2	0.5880443561
3	0.5508101562
4	0.5205993141
5	0.4939496146
6	0.4704446903
7	0.4616978994
8	0.4513375677
9	0.4342695939
10	0.4260755101
11	0.4126295391
12	0.4006855358
13	0.3914378429
14	0.380554522
15	0.3761942858
16	0.3682493122
17	0.3627544814
18	0.359589065
19	0.3540782162
20	0.3480314259
21	0.3435537567
22	0.3370558873
23	0.335043026
24	0.332920974
25	0.3256911187
26	0.3219279848
27	0.3197241279
28	0.317632363
29	0.313902183
30	0.3120951634
31	0.3078940014
32	0.3039804077
33	0.3027179768
34	0.2983972812
35	0.2973623349
36	0.2961949965
37	0.2940511958
38	0.2925918319
39	0.2915483228
40	0.2908782917
41	0.2906551557
42	0.2877783643
43	0.2860997202
44	0.2849588971
45	0.2837897527
46	0.2812894798
47	0.2811188919
48	0.2803366029
49	0.2788367234
50	0.2777330916
51	0.2760564453
52	0.2757558661
53	0.275608678
54	0.2754674695
55	0.2753684352
56	0.275277789
57	0.2751939263
58	0.2746919383
59	0.2745606201
60	0.2744951965
61	0.2744346589
62	0.2738816457
63	0.272935074
64	0.2728208094
65	0.2727403627
66	0.2719891602
67	0.2716636941
68	0.2696488266
69	0.2696129719
70	0.2689599928
71	0.2687090023
72	0.2682894136
73	0.2677251009
74	0.2676332165
75	0.2665303174
76	0.2651634993
77	0.2651424687
78	0.2639060929
79	0.263655779
80	0.2630532623
81	0.2624718601
82	0.2624553955
83	0.2624401543
84	0.2623109916
85	0.2622979848
86	0.2622207813
87	0.2622096818
88	0.2621298354
89	0.2615862693
90	0.2615770147
91	0.2613771271
92	0.2613692313
93	0.2610149586
94	0.2607093732
95	0.2604188208
96	0.2604121553
97	0.2601345675
98	0.2601299281
99	0.2599338339
100	0.2594167606
101	0.2584694725
102	0.2584662873
103	0.2584164392
104	0.2584137205
105	0.2580779554
106	0.2573614341
107	0.256598256
108	0.2558178554
109	0.2556141599
110	0.2552302604
111	0.2549220395
112	0.2545594959
113	0.2541127895
114	0.2541110992
115	0.2538017362
116	0.2537889385
117	0.253759216
118	0.2535076047
119	0.2532835542
120	0.2521197455
121	0.2520773963
122	0.2516464521
123	0.2516464517
124	0.2516085713
125	0.2514231663
126	0.2510817789
127	0.2504831617
128	0.2500172813
