iter	Passed	Remaining
0	207	61981
1	242	36118
2	255	25261
3	272	20189
4	288	17043
5	314	15394
6	340	14239
7	362	13233
8	397	12837
9	409	11888
10	422	11109
11	459	11025
12	486	10740
13	524	10713
14	561	10662
15	574	10189
16	609	10152
17	645	10119
18	684	10116
19	709	9926
20	748	9942
21	767	9700
22	793	9560
23	808	9299
24	833	9169
25	854	9003
26	876	8857
27	921	8954
28	943	8815
29	968	8720
30	1005	8728
31	1043	8741
32	1096	8870
33	1141	8927
34	1160	8786
35	1168	8570
36	1188	8447
37	1202	8289
38	1235	8269
39	1271	8263
40	1284	8114
41	1330	8170
42	1353	8088
43	1367	7953
44	1380	7824
45	1388	7668
46	1424	7667
47	1448	7602
48	1484	7602
49	1509	7548
50	1545	7544
51	1569	7485
52	1577	7350
53	1614	7355
54	1652	7359
55	1676	7306
56	1684	7182
57	1719	7175
58	1758	7184
59	1778	7113
60	1786	6998
61	1825	7006
62	1857	6986
63	1893	6983
64	1917	6932
65	1931	6846
66	1938	6741
67	1946	6641
68	1983	6641
69	2015	6623
70	2035	6564
71	2072	6564
72	2104	6544
73	2118	6471
74	2157	6472
75	2190	6456
76	2227	6450
77	2241	6378
78	2278	6373
79	2303	6334
80	2316	6264
81	2352	6255
82	2385	6237
83	2426	6240
84	2438	6168
85	2469	6144
86	2477	6066
87	2485	5986
88	2519	5973
89	2555	5962
90	2563	5888
91	2577	5827
92	2616	5823
93	2652	5813
94	2690	5805
95	2730	5801
96	2766	5790
97	2808	5788
98	2840	5767
99	2875	5750
100	2910	5735
101	2967	5760
102	3012	5761
103	3055	5758
104	3093	5744
105	3130	5729
106	3149	5681
107	3158	5614
108	3186	5582
109	3193	5516
110	3201	5451
111	3234	5428
112	3265	5403
113	3295	5376
114	3325	5349
115	3355	5322
116	3372	5274
117	3406	5254
118	3419	5201
119	3451	5176
120	3473	5138
121	3504	5113
122	3515	5059
123	3546	5033
124	3579	5011
125	3613	4989
126	3629	4943
127	3658	4915
128	3680	4879
129	3714	4857
130	3738	4822
131	3773	4802
132	3806	4779
133	3827	4741
134	3861	4720
135	3895	4698
136	3928	4674
137	3963	4652
138	3985	4615
139	4013	4586
140	4049	4566
141	4085	4545
142	4123	4527
143	4162	4509
144	4184	4473
145	4217	4448
146	4251	4425
147	4276	4391
148	4311	4369
149	4343	4343
150	4376	4318
151	4409	4293
152	4443	4269
153	4478	4246
154	4514	4223
155	4554	4204
156	4592	4182
157	4610	4143
158	4645	4119
159	4678	4093
160	4712	4068
161	4725	4025
162	4737	3981
163	4772	3958
164	4800	3927
165	4829	3898
166	4859	3870
167	4890	3842
168	4922	3815
169	4954	3788
170	4986	3761
171	5019	3735
172	5053	3709
173	5090	3686
174	5122	3658
175	5152	3630
176	5183	3601
177	5210	3571
178	5244	3545
179	5277	3518
180	5310	3491
181	5340	3462
182	5347	3418
183	5376	3389
184	5406	3360
185	5437	3332
186	5477	3310
187	5489	3270
188	5522	3243
189	5556	3216
190	5588	3189
191	5619	3160
192	5652	3133
193	5681	3104
194	5712	3075
195	5742	3046
196	5771	3017
197	5787	2981
198	5794	2941
199	5823	2911
200	5841	2877
201	5871	2848
202	5900	2819
203	5931	2791
204	5964	2764
205	5997	2736
206	6014	2702
207	6048	2675
208	6081	2648
209	6113	2619
210	6147	2593
211	6179	2565
212	6213	2537
213	6247	2510
214	6277	2481
215	6309	2453
216	6342	2425
217	6374	2397
218	6406	2369
219	6435	2340
220	6469	2312
221	6503	2284
222	6534	2256
223	6567	2228
224	6600	2200
225	6633	2172
226	6668	2144
227	6703	2116
228	6738	2089
229	6772	2061
230	6806	2033
231	6838	2004
232	6871	1975
233	6904	1947
234	6935	1918
235	6966	1889
236	6997	1860
237	7028	1830
238	7061	1802
239	7118	1779
240	7151	1750
241	7186	1722
242	7220	1693
243	7256	1665
244	7292	1637
245	7329	1608
246	7367	1580
247	7402	1552
248	7437	1523
249	7473	1494
250	7507	1465
251	7541	1436
252	7576	1407
253	7606	1377
254	7639	1348
255	7676	1319
256	7711	1290
257	7743	1260
258	7774	1230
259	7806	1200
260	7838	1171
261	7868	1141
262	7900	1111
263	7930	1081
264	7964	1051
265	7999	1022
266	8040	993
267	8076	964
268	8111	934
269	8148	905
270	8185	875
271	8221	846
272	8257	816
273	8292	786
274	8332	757
275	8365	727
276	8399	697
277	8434	667
278	8469	637
279	8503	607
280	8538	577
281	8571	547
282	8606	517
283	8640	486
284	8676	456
285	8709	426
286	8756	396
287	8795	366
288	8831	336
289	8865	305
290	8899	275
291	8934	244
292	8969	214
293	9002	183
294	9038	153
295	9073	122
296	9106	91
297	9140	61
298	9169	30
299	9199	0
